Two Theta (degrees),Intensity
0.49810044231036454,3.197311
0.5356053990953532,3.5359128
0.5731103558803419,4.055128
0.6106153126653305,3.9622102
0.6481202694503192,3.4221668
0.6856252262353079,3.1779969
0.7231301830202966,3.416391
0.7606351398052853,3.36009
0.798140096590274,3.3073106
0.8356450533752626,3.5767863
0.8731500101602513,3.9671903
0.91065496694524,4.080202
0.9481599237302286,3.8780034
0.9856648805152174,3.7387419
1.023169837300206,3.886035
1.0606747940851946,3.8984597
1.0981797508701834,3.9635699
1.135684707655172,3.711027
1.1731896644401607,3.3634546
1.2106946212251493,3.2856245
1.248199578010138,3.4436424
1.2857045347951266,3.9460907
1.3232094915801154,3.975247
1.3607144483651041,3.663718
1.3982194051500927,3.3671646
1.4357243619350815,3.2776585
1.47322931872007,3.4352264
1.510734275505059,3.8064995
1.5482392322900473,3.7336872
1.5857441890750363,3.7553484
1.6232491458600247,3.6393855
1.6607541026450137,3.647602
1.698259059430002,4.058233
1.735764016214991,4.176807
1.7732689729999793,5.395992
1.8107739297849683,9.61127
1.8482788865699566,14.08637
1.8857838433549456,17.574408
1.923288800139934,20.994638
1.960793756924923,24.136892
1.9982987137099113,26.876928
2.0358036704949,29.831959
2.073308627279889,33.362007
2.1108135840648776,36.951256
2.148318540849866,39.437878
2.1858234976348547,41.84042
2.2233284544198435,44.552555
2.2608334112048323,47.610435
2.298338367989821,51.671894
2.33584332477481,55.080956
2.3733482815597986,57.023216
2.410853238344787,58.68681
2.4483581951297757,60.74049
2.4858631519147645,63.04652
2.5233681086997533,66.56853
2.5608730654847416,69.94309
2.5983780222697304,72.79001
2.635882979054719,74.777145
2.673387935839708,76.45976
2.7108928926246962,77.37676
2.748397849409685,78.799904
2.785902806194674,80.18658
2.8234077629796626,80.21656
2.860912719764651,80.59216
2.8984176765496397,80.53935
2.935922633334629,80.13814
2.973427590119617,80.75993
3.010932546904606,80.949844
3.0484375036895943,81.44195
3.0859424604745835,82.49036
3.123447417259572,82.64903
3.1609523740445606,83.07297
3.1984573308295494,83.69359
3.235962287614538,84.612976
3.2734672443995265,85.08033
3.3109722011845153,85.61966
3.348477157969504,86.23033
3.385982114754493,86.744354
3.423487071539481,87.80118
3.46099202832447,89.020485
3.4984969851094587,89.217735
3.5360019418944475,90.06302
3.573506898679436,90.60313
3.611011855464424,90.7116
3.648516812249413,91.138374
3.686021769034402,91.67754
3.7235267258193905,92.01326
3.7610316826043793,92.0514
3.7985366393893676,93.02754
3.836041596174357,95.44442
3.873546552959345,96.99555
3.911051509744334,97.41665
3.9485564665293222,98.112854
3.9860614233143115,99.40607
4.0235663800993,100.38406
4.061071336884289,101.39377
4.098576293669278,103.028076
4.136081250454266,104.83778
4.173586207239254,105.70654
4.211091164024244,107.72594
4.248596120809232,109.649124
4.286101077594221,109.96838
4.3236060343792095,111.02716
4.361110991164199,111.898125
4.398615947949187,113.11515
4.436120904734175,114.5219
4.473625861519164,115.72608
4.511130818304153,117.56555
4.548635775089141,119.12275
4.5861407318741305,120.22241
4.623645688659119,122.24878
4.661150645444108,124.49978
4.698655602229096,126.73412
4.736160559014085,128.61972
4.773665515799073,130.27068
4.811170472584062,132.329
4.848675429369051,134.66455
4.88618038615404,136.08105
4.923685342939028,137.44722
4.961190299724017,139.90701
4.998695256509006,142.20128
5.036200213293994,143.90076
5.073705170078982,145.94627
5.111210126863972,147.36705
5.148715083648961,148.81715
5.186220040433949,151.05016
5.2237249972189375,153.49303
5.261229954003927,155.06537
5.298734910788915,156.83275
5.336239867573903,158.90067
5.373744824358893,160.26852
5.411249781143881,161.66422
5.44875473792887,163.34933
5.486259694713858,164.4615
5.523764651498848,165.33557
5.561269608283836,167.35542
5.598774565068824,169.03236
5.636279521853813,169.84874
5.673784478638802,171.17993
5.71128943542379,173.123
5.748794392208779,175.18217
5.786299348993768,176.65729
5.823804305778757,178.47055
5.861309262563745,179.77045
5.898814219348734,180.29395
5.936319176133722,181.02412
5.973824132918711,183.00583
6.0113290897037,184.94266
6.048834046488689,186.03932
6.086339003273677,186.81732
6.123843960058666,188.52673
6.161348916843655,189.80374
6.198853873628643,190.04707
6.236358830413631,191.28407
6.2738637871986205,192.45378
6.31136874398361,193.65562
6.348873700768598,194.7046
6.386378657553586,195.6017
6.423883614338576,196.26917
6.461388571123564,197.05923
6.498893527908552,198.1848
6.5363984846935415,199.66428
6.57390344147853,200.4259
6.611408398263519,201.0417
6.648913355048507,202.25127
6.6864183118334966,202.09549
6.723923268618485,202.50186
6.761428225403473,204.28923
6.7989331821884615,205.41989
6.836438138973451,205.01514
6.87394309575844,205.00972
6.911448052543428,205.57182
6.948953009328417,206.41798
6.986457966113406,207.60971
7.023962922898394,208.3587
7.0614678796833825,208.35376
7.098972836468371,208.18373
7.13647779325336,208.3372
7.173982750038348,208.10193
7.211487706823338,207.65858
7.248992663608325,207.8102
7.286497620393314,208.27974
7.3240025771783035,208.80586
7.361507533963291,208.78535
7.39901249074828,208.094
7.436517447533269,207.797
7.474022404318258,207.80267
7.511527361103247,208.38033
7.549032317888234,207.60512
7.586537274673224,206.6407
7.624042231458213,207.09904
7.6615471882432,206.65259
7.6990521450281895,206.19441
7.736557101813178,205.79665
7.774062058598167,205.25826
7.811567015383156,205.06625
7.849071972168144,204.62856
7.886576928953133,204.48679
