gamma  mean  std
-1.794999999701976776e+02 3.761655426025390625e+01 1.755929112434387207e+00
-1.784999999105930328e+02 3.639266204833984375e+01 5.531303882598876953e-01
-1.774999998509883881e+02 3.628584671020507812e+01 1.102861285209655762e+00
-1.764999997913837433e+02 3.605889892578125000e+01 1.119291782379150391e+00
-1.754999997317790985e+02 3.611138153076171875e+01 1.012730836868286133e+00
-1.744999996721744253e+02 3.650273895263671875e+01 7.906880974769592285e-01
-1.734999996125698090e+02 3.572034072875976562e+01 1.024988174438476562e+00
-1.724999995529651642e+02 3.613310623168945312e+01 1.453783631324768066e+00
-1.714999994933605194e+02 3.687685775756835938e+01 1.248312711715698242e+00
-1.704999994337558746e+02 3.759246826171875000e+01 1.974421977996826172e+00
-1.694999993741512299e+02 4.087390136718750000e+01 6.566714286804199219e+00
-1.684999993145465851e+02 4.930554962158203125e+01 2.032406234741210938e+01
-1.674999992549419403e+02 5.575773239135742188e+01 2.819768142700195312e+01
-1.664999991953372955e+02 4.669486236572265625e+01 1.369296550750732422e+01
-1.654999991357326508e+02 3.923253631591796875e+01 3.993081808090209961e+00
-1.644999990761280060e+02 3.581780242919921875e+01 1.996722817420959473e+00
-1.634999990165233612e+02 3.534850692749023438e+01 1.141822099685668945e+00
-1.624999989569187164e+02 3.381877517700195312e+01 8.191904425621032715e-01
-1.614999988973140717e+02 3.504076385498046875e+01 1.391594409942626953e+00
-1.604999988377094269e+02 3.425483322143554688e+01 1.127100706100463867e+00
-1.594999987781047821e+02 3.446913528442382812e+01 9.535269737243652344e-01
-1.584999987185001373e+02 3.472047805786132812e+01 7.162883877754211426e-01
-1.574999986588954926e+02 3.436047363281250000e+01 5.588172078132629395e-01
-1.564999985992908478e+02 3.478287124633789062e+01 1.116586089134216309e+00
-1.554999985396862030e+02 3.385950469970703125e+01 1.570910692214965820e+00
-1.544999984800815582e+02 3.375189971923828125e+01 7.662498354911804199e-01
-1.534999984204769135e+02 3.335958862304687500e+01 9.059224724769592285e-01
-1.524999983608722687e+02 3.406432723999023438e+01 7.090259790420532227e-01
-1.514999983012676239e+02 3.406451034545898438e+01 1.491183638572692871e+00
-1.504999982416629791e+02 3.448873901367187500e+01 2.243784189224243164e+00
-1.494999981820583344e+02 3.332184982299804688e+01 8.337405323982238770e-01
-1.484999981224536896e+02 3.291624832153320312e+01 1.154641270637512207e+00
-1.474999980628490448e+02 3.301601791381835938e+01 7.062405943870544434e-01
-1.464999980032444000e+02 3.375910186767578125e+01 1.037672996520996094e+00
-1.454999979436397552e+02 3.337672042846679688e+01 1.076769709587097168e+00
-1.444999978840351105e+02 3.320671463012695312e+01 7.156714797019958496e-01
-1.434999978244304657e+02 3.287112808227539062e+01 7.812779545783996582e-01
-1.424999977648258209e+02 3.231625747680664062e+01 1.656571984291076660e+00
-1.414999977052211761e+02 3.346872711181640625e+01 8.700493574142456055e-01
-1.404999976456165314e+02 3.297704696655273438e+01 3.774187266826629639e-01
-1.394999975860118866e+02 3.316327667236328125e+01 5.414483547210693359e-01
-1.384999975264072418e+02 3.262189102172851562e+01 9.419734477996826172e-01
-1.374999974668025970e+02 3.283633804321289062e+01 4.650256037712097168e-01
-1.364999974071979523e+02 3.318423843383789062e+01 1.210996150970458984e+00
-1.354999973475933075e+02 3.279104232788085938e+01 1.107785463333129883e+00
-1.344999972879886627e+02 3.315356826782226562e+01 1.033314943313598633e+00
-1.334999972283840179e+02 3.262336730957031250e+01 6.362279653549194336e-01
-1.324999971687793732e+02 3.225406646728515625e+01 7.176865339279174805e-01
-1.314999971091747284e+02 3.236757659912109375e+01 1.226036787033081055e+00
-1.304999970495700836e+02 3.286048507690429688e+01 7.009158134460449219e-01
