gamma  mean  std
-1.794999999701976776e+02 4.995084381103515625e+01 3.805839061737060547e+00
-1.784999999105930328e+02 4.793640136718750000e+01 2.929839611053466797e+00
-1.774999998509883881e+02 4.503909301757812500e+01 2.209465026855468750e+00
-1.764999997913837433e+02 4.386510086059570312e+01 1.572430014610290527e+00
-1.754999997317790985e+02 4.294513702392578125e+01 7.679705619812011719e-01
-1.744999996721744253e+02 4.213995361328125000e+01 9.461511969566345215e-01
-1.734999996125698090e+02 4.177196502685546875e+01 1.279165148735046387e+00
-1.724999995529651642e+02 4.047048950195312500e+01 1.995476365089416504e+00
-1.714999994933605194e+02 3.998844528198242188e+01 1.488521456718444824e+00
-1.704999994337558746e+02 3.898849487304687500e+01 1.106232762336730957e+00
-1.694999993741512299e+02 3.890945816040039062e+01 9.102695584297180176e-01
-1.684999993145465851e+02 3.758531570434570312e+01 1.069105625152587891e+00
-1.674999992549419403e+02 3.677320480346679688e+01 1.263436675071716309e+00
-1.664999991953372955e+02 3.653572463989257812e+01 1.223749041557312012e+00
-1.654999991357326508e+02 3.573376083374023438e+01 1.263088822364807129e+00
-1.644999990761280060e+02 3.569953155517578125e+01 7.087490558624267578e-01
-1.634999990165233612e+02 3.523167037963867188e+01 1.029373288154602051e+00
-1.624999989569187164e+02 3.372716140747070312e+01 8.813059329986572266e-01
-1.614999988973140717e+02 3.419441604614257812e+01 3.307538330554962158e-01
-1.604999988377094269e+02 3.405353927612304688e+01 6.629573106765747070e-01
-1.594999987781047821e+02 3.327717208862304688e+01 7.558646202087402344e-01
-1.584999987185001373e+02 3.406468963623046875e+01 9.661603569984436035e-01
-1.574999986588954926e+02 3.351746368408203125e+01 5.677858591079711914e-01
-1.564999985992908478e+02 3.421824264526367188e+01 1.092322230339050293e+00
-1.554999985396862030e+02 3.460924530029296875e+01 8.954020738601684570e-01
-1.544999984800815582e+02 3.459848785400390625e+01 6.228434443473815918e-01
-1.534999984204769135e+02 3.435821151733398438e+01 6.694245338439941406e-01
-1.524999983608722687e+02 3.437368774414062500e+01 8.045064210891723633e-01
-1.514999983012676239e+02 3.488642120361328125e+01 9.326808452606201172e-01
-1.504999982416629791e+02 3.426671218872070312e+01 1.574161887168884277e+00
-1.494999981820583344e+02 3.385330963134765625e+01 5.876143574714660645e-01
-1.484999981224536896e+02 3.399605178833007812e+01 7.279697656631469727e-01
-1.474999980628490448e+02 3.399222183227539062e+01 7.026693820953369141e-01
-1.464999980032444000e+02 3.478432083129882812e+01 9.788647294044494629e-01
-1.454999979436397552e+02 3.393180465698242188e+01 1.259994268417358398e+00
-1.444999978840351105e+02 3.497068405151367188e+01 8.029495477676391602e-01
-1.434999978244304657e+02 3.626507568359375000e+01 2.350859880447387695e+00
-1.424999977648258209e+02 3.811184310913085938e+01 3.783326864242553711e+00
-1.414999977052211761e+02 3.615349578857421875e+01 1.207212090492248535e+00
-1.404999976456165314e+02 3.442858505249023438e+01 8.244622349739074707e-01
-1.394999975860118866e+02 3.404218292236328125e+01 1.129682660102844238e+00
-1.384999975264072418e+02 3.438199996948242188e+01 6.601831912994384766e-01
-1.374999974668025970e+02 3.360812377929687500e+01 6.894435882568359375e-01
-1.364999974071979523e+02 3.382592773437500000e+01 5.175086855888366699e-01
-1.354999973475933075e+02 3.390421676635742188e+01 7.958810925483703613e-01
-1.344999972879886627e+02 3.316441726684570312e+01 1.228478431701660156e+00
-1.334999972283840179e+02 3.402239227294921875e+01 7.197756171226501465e-01
-1.324999971687793732e+02 3.392354202270507812e+01 7.337224483489990234e-01
-1.314999971091747284e+02 3.380057525634765625e+01 8.774787187576293945e-01
-1.304999970495700836e+02 3.497800827026367188e+01 5.162898302078247070e-01
-1.294999969899654388e+02 3.485280609130859375e+01 1.419914603233337402e+00
-1.284999969303607941e+02 3.402050399780273438e+01 1.006420016288757324e+00
-1.274999968707561493e+02 3.436893844604492188e+01 7.404809594154357910e-01
-1.264999968111514903e+02 3.431491851806640625e+01 6.580433249473571777e-01
-1.254999967515468740e+02 3.454377365112304688e+01 1.710519433021545410e+00
