gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 6.516618347167968750e+01 5.876215934753417969e+00
-1.774999998509883881e+02 6.023698425292968750e+01 2.674365997314453125e+00
-1.764999997913837433e+02 5.720304489135742188e+01 2.329619407653808594e+00
-1.754999997317790985e+02 5.736042022705078125e+01 1.484185457229614258e+00
-1.744999996721744253e+02 5.658415222167968750e+01 2.482703685760498047e+00
-1.734999996125698090e+02 5.553841400146484375e+01 1.632590651512145996e+00
-1.724999995529651642e+02 5.658384323120117188e+01 2.613420724868774414e+00
-1.714999994933605194e+02 5.775657272338867188e+01 2.321892976760864258e+00
-1.704999994337558746e+02 5.775953674316406250e+01 2.046791315078735352e+00
-1.694999993741512299e+02 6.210003280639648438e+01 6.294805526733398438e+00
-1.684999993145465851e+02 7.308621978759765625e+01 1.989058494567871094e+01
-1.674999992549419403e+02 8.238560485839843750e+01 3.612099075317382812e+01
-1.664999991953372955e+02 7.199401092529296875e+01 1.593173599243164062e+01
-1.654999991357326508e+02 6.684886932373046875e+01 1.042578792572021484e+01
-1.644999990761280060e+02 7.185638427734375000e+01 1.714183044433593750e+01
-1.634999990165233612e+02 7.435360717773437500e+01 2.288096618652343750e+01
-1.624999989569187164e+02 6.693155670166015625e+01 1.365982818603515625e+01
-1.614999988973140717e+02 6.096373748779296875e+01 6.255160331726074219e+00
-1.604999988377094269e+02 6.043795394897460938e+01 4.929100513458251953e+00
-1.594999987781047821e+02 5.774428176879882812e+01 3.047555923461914062e+00
-1.584999987185001373e+02 5.581243896484375000e+01 2.427380323410034180e+00
-1.574999986588954926e+02 5.622642517089843750e+01 1.658664345741271973e+00
-1.564999985992908478e+02 5.739484024047851562e+01 2.285878181457519531e+00
-1.554999985396862030e+02 5.654685592651367188e+01 2.742987394332885742e+00
-1.544999984800815582e+02 5.656671905517578125e+01 1.520622372627258301e+00
-1.534999984204769135e+02 5.801256942749023438e+01 3.278288125991821289e+00
-1.524999983608722687e+02 5.659741592407226562e+01 1.959736943244934082e+00
-1.514999983012676239e+02 5.720064163208007812e+01 2.021989107131958008e+00
-1.504999982416629791e+02 5.856148529052734375e+01 1.885565280914306641e+00
-1.494999981820583344e+02 5.869124984741210938e+01 2.196600914001464844e+00
-1.484999981224536896e+02 5.861344909667968750e+01 3.127055406570434570e+00
-1.474999980628490448e+02 5.950275039672851562e+01 2.819002628326416016e+00
-1.464999980032444000e+02 6.176795196533203125e+01 4.729701995849609375e+00
-1.454999979436397552e+02 6.554479217529296875e+01 6.558409690856933594e+00
-1.444999978840351105e+02 7.397832489013671875e+01 1.392946910858154297e+01
-1.434999978244304657e+02 9.064881896972656250e+01 2.985828208923339844e+01
