2theta Intensity
5.952139160268129503e-01 2.001083850860595703e+00
6.015387680369312928e-01 2.001079797744750977e+00
6.078636200470497464e-01 1.998670101165771484e+00
6.141884720571680889e-01 1.773098707199096680e+00
6.205133240672864314e-01 1.773098707199096680e+00
6.268381760774048850e-01 1.773098707199096680e+00
6.331630280875232275e-01 1.773098707199096680e+00
6.394878800976415700e-01 1.783181071281433105e+00
6.458127321077600236e-01 1.813589096069335938e+00
6.521375841178783661e-01 1.813589096069335938e+00
6.584624361279967086e-01 1.813589096069335938e+00
6.647872881381151622e-01 1.813589096069335938e+00
6.711121401482335047e-01 1.813589096069335938e+00
6.774369921583518472e-01 1.831553339958190918e+00
6.837618441684703008e-01 1.776419281959533691e+00
6.900866961785886433e-01 1.644572377204895020e+00
6.964115481887069858e-01 1.572119593620300293e+00
7.027364001988254394e-01 1.598508238792419434e+00
7.090612522089437819e-01 1.635641336441040039e+00
7.153861042190621244e-01 1.635641336441040039e+00
7.217109562291805780e-01 1.635641336441040039e+00
7.280358082392989205e-01 1.713189005851745605e+00
7.343606602494172630e-01 1.744941353797912598e+00
7.406855122595356056e-01 1.703849196434020996e+00
7.470103642696540591e-01 1.703849196434020996e+00
7.533352162797724016e-01 1.703849196434020996e+00
7.596600682898907442e-01 1.762156605720520020e+00
7.659849203000091977e-01 1.871896743774414062e+00
7.723097723101275403e-01 1.815039992332458496e+00
7.786346243202458828e-01 1.815039992332458496e+00
7.849594763303642253e-01 1.449879765510559082e+00
7.912843283404826789e-01 1.357939839363098145e+00
7.976091803506010214e-01 1.525497436523437500e+00
8.039340323607193639e-01 1.632335543632507324e+00
8.102588843708378175e-01 1.805806398391723633e+00
8.165837363809561600e-01 1.874760150909423828e+00
8.229085883910745025e-01 2.022271394729614258e+00
8.292334404011929561e-01 2.012740612030029297e+00
8.355582924113112986e-01 2.012740612030029297e+00
8.418831444214296411e-01 2.012740612030029297e+00
8.482079964315480947e-01 2.051621437072753906e+00
8.545328484416664372e-01 2.067470550537109375e+00
8.608577004517847797e-01 2.133438587188720703e+00
8.671825524619032333e-01 2.155214071273803711e+00
8.735074044720215758e-01 2.123876571655273438e+00
8.798322564821399183e-01 2.403473377227783203e+00
8.861571084922583719e-01 2.502729415893554688e+00
8.924819605023767144e-01 2.623743534088134766e+00
8.988068125124950569e-01 2.668424606323242188e+00
9.051316645226135105e-01 2.668424606323242188e+00
9.114565165327318530e-01 2.604751825332641602e+00
9.177813685428501955e-01 2.550991535186767578e+00
9.241062205529686491e-01 2.572942495346069336e+00
9.304310725630869916e-01 2.546227455139160156e+00
9.367559245732053341e-01 2.437532424926757812e+00
9.430807765833237877e-01 2.238133192062377930e+00
9.494056285934421302e-01 2.242630958557128906e+00
9.557304806035604727e-01 2.242630958557128906e+00
9.620553326136789263e-01 2.242630958557128906e+00
9.683801846237972688e-01 2.242630958557128906e+00
9.747050366339156113e-01 2.048511505126953125e+00
9.810298886440340649e-01 2.176613330841064453e+00
