2theta Intensity
5.952139160268129503e-01 3.030078887939453125e+00
6.015387680369312928e-01 2.781947135925292969e+00
6.078636200470497464e-01 2.782475709915161133e+00
6.141884720571680889e-01 2.831960678100585938e+00
6.205133240672864314e-01 2.831960678100585938e+00
6.268381760774048850e-01 2.831960678100585938e+00
6.331630280875232275e-01 2.831960678100585938e+00
6.394878800976415700e-01 2.839458465576171875e+00
6.458127321077600236e-01 2.862071275711059570e+00
6.521375841178783661e-01 2.862071275711059570e+00
6.584624361279967086e-01 2.862071275711059570e+00
6.647872881381151622e-01 2.862071275711059570e+00
6.711121401482335047e-01 2.862071275711059570e+00
6.774369921583518472e-01 2.683970451354980469e+00
6.837618441684703008e-01 2.619883060455322266e+00
6.900866961785886433e-01 2.398153305053710938e+00
6.964115481887069858e-01 2.102514743804931641e+00
7.027364001988254394e-01 2.210259199142456055e+00
7.090612522089437819e-01 2.259415626525878906e+00
7.153861042190621244e-01 2.259415626525878906e+00
7.217109562291805780e-01 2.259415626525878906e+00
7.280358082392989205e-01 2.165421962738037109e+00
7.343606602494172630e-01 2.135560750961303711e+00
7.406855122595356056e-01 2.293771028518676758e+00
7.470103642696540591e-01 2.293771028518676758e+00
7.533352162797724016e-01 2.293771028518676758e+00
7.596600682898907442e-01 2.286355972290039062e+00
7.659849203000091977e-01 2.214701414108276367e+00
7.723097723101275403e-01 2.096957206726074219e+00
7.786346243202458828e-01 2.096957206726074219e+00
7.849594763303642253e-01 1.867217183113098145e+00
7.912843283404826789e-01 1.815490961074829102e+00
7.976091803506010214e-01 1.786210775375366211e+00
8.039340323607193639e-01 1.778433799743652344e+00
8.102588843708378175e-01 2.013642311096191406e+00
8.165837363809561600e-01 2.082478761672973633e+00
8.229085883910745025e-01 2.213683366775512695e+00
8.292334404011929561e-01 2.225490570068359375e+00
8.355582924113112986e-01 2.225490570068359375e+00
8.418831444214296411e-01 2.225490570068359375e+00
8.482079964315480947e-01 2.231487035751342773e+00
8.545328484416664372e-01 2.369333028793334961e+00
8.608577004517847797e-01 2.447069168090820312e+00
8.671825524619032333e-01 2.373199462890625000e+00
8.735074044720215758e-01 2.242562294006347656e+00
8.798322564821399183e-01 2.247271299362182617e+00
8.861571084922583719e-01 2.332538604736328125e+00
8.924819605023767144e-01 2.416736364364624023e+00
8.988068125124950569e-01 2.429155588150024414e+00
9.051316645226135105e-01 2.429155588150024414e+00
9.114565165327318530e-01 2.425788402557373047e+00
9.177813685428501955e-01 2.405869960784912109e+00
9.241062205529686491e-01 2.457289218902587891e+00
9.304310725630869916e-01 2.445547819137573242e+00
9.367559245732053341e-01 2.438646554946899414e+00
9.430807765833237877e-01 2.393410444259643555e+00
9.494056285934421302e-01 2.321292161941528320e+00
9.557304806035604727e-01 2.321292161941528320e+00
9.620553326136789263e-01 2.321292161941528320e+00
