gamma  mean  std
-1.794999999701976776e+02 3.767633438110351562e+01 3.119206666946411133e+00
-1.784999999105930328e+02 3.735427474975585938e+01 2.221825838088989258e+00
-1.774999998509883881e+02 3.733814239501953125e+01 2.044905662536621094e+00
-1.764999997913837433e+02 3.803739547729492188e+01 1.654779195785522461e+00
-1.754999997317790985e+02 3.840351867675781250e+01 1.846802115440368652e+00
-1.744999996721744253e+02 3.785845947265625000e+01 1.811714887619018555e+00
-1.734999996125698090e+02 3.805319595336914062e+01 1.500958085060119629e+00
-1.724999995529651642e+02 3.841249084472656250e+01 1.216884732246398926e+00
-1.714999994933605194e+02 3.785997390747070312e+01 9.915173649787902832e-01
-1.704999994337558746e+02 3.863985824584960938e+01 9.380843639373779297e-01
-1.694999993741512299e+02 3.877461242675781250e+01 1.452709674835205078e+00
-1.684999993145465851e+02 3.994984817504882812e+01 1.580854296684265137e+00
-1.674999992549419403e+02 3.961354446411132812e+01 1.108568668365478516e+00
-1.664999991953372955e+02 4.066400146484375000e+01 1.526099920272827148e+00
-1.654999991357326508e+02 4.024245071411132812e+01 8.999370336532592773e-01
-1.644999990761280060e+02 3.932534408569335938e+01 1.282389879226684570e+00
-1.634999990165233612e+02 3.983205795288085938e+01 2.115804910659790039e+00
-1.624999989569187164e+02 3.928126525878906250e+01 1.531878590583801270e+00
-1.614999988973140717e+02 3.999369812011718750e+01 2.333526372909545898e+00
-1.604999988377094269e+02 3.991010284423828125e+01 1.455357313156127930e+00
-1.594999987781047821e+02 3.927082061767578125e+01 1.733842611312866211e+00
-1.584999987185001373e+02 3.956364440917968750e+01 2.406700372695922852e+00
-1.574999986588954926e+02 3.993120574951171875e+01 1.402108192443847656e+00
-1.564999985992908478e+02 3.907711029052734375e+01 2.028365850448608398e+00
-1.554999985396862030e+02 3.889712524414062500e+01 2.081430196762084961e+00
-1.544999984800815582e+02 3.939731597900390625e+01 1.850933790206909180e+00
-1.534999984204769135e+02 3.880535507202148438e+01 2.157168865203857422e+00
-1.524999983608722687e+02 3.904303359985351562e+01 2.676351785659790039e+00
-1.514999983012676239e+02 3.992106628417968750e+01 3.199766874313354492e+00
