gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 5.485048675537109375e+01 3.239812850952148438e+00
-1.774999998509883881e+02 5.632155227661132812e+01 1.411810159683227539e+00
-1.764999997913837433e+02 5.627586364746093750e+01 3.193934679031372070e+00
-1.754999997317790985e+02 5.685492324829101562e+01 3.648501157760620117e+00
-1.744999996721744253e+02 5.610845947265625000e+01 2.170356035232543945e+00
-1.734999996125698090e+02 5.728770065307617188e+01 2.321416378021240234e+00
-1.724999995529651642e+02 5.614165878295898438e+01 2.270406246185302734e+00
-1.714999994933605194e+02 5.691970443725585938e+01 1.837322592735290527e+00
-1.704999994337558746e+02 5.779915237426757812e+01 2.081494808197021484e+00
-1.694999993741512299e+02 5.897185897827148438e+01 2.946572065353393555e+00
-1.684999993145465851e+02 5.948588180541992188e+01 2.381618499755859375e+00
-1.674999992549419403e+02 6.030416488647460938e+01 2.378349542617797852e+00
-1.664999991953372955e+02 6.000866699218750000e+01 3.326584339141845703e+00
-1.654999991357326508e+02 6.121297836303710938e+01 3.847023963928222656e+00
-1.644999990761280060e+02 6.338820648193359375e+01 6.886744022369384766e+00
-1.634999990165233612e+02 6.888664245605468750e+01 1.205101299285888672e+01
-1.624999989569187164e+02 6.935634613037109375e+01 1.242740058898925781e+01
-1.614999988973140717e+02 6.542333984375000000e+01 5.581712722778320312e+00
-1.604999988377094269e+02 6.396680450439453125e+01 3.633485317230224609e+00
-1.594999987781047821e+02 6.597235870361328125e+01 5.583691596984863281e+00
-1.584999987185001373e+02 7.622326660156250000e+01 1.539812850952148438e+01
-1.574999986588954926e+02 1.050448455810546875e+02 5.475043869018554688e+01
-1.564999985992908478e+02 1.709062500000000000e+02 1.519656677246093750e+02
-1.554999985396862030e+02 2.001594085693359375e+02 1.927740631103515625e+02
-1.544999984800815582e+02 1.390746154785156250e+02 9.682590484619140625e+01
-1.534999984204769135e+02 9.322086334228515625e+01 3.341371154785156250e+01
-1.524999983608722687e+02 7.451291656494140625e+01 1.084530353546142578e+01
-1.514999983012676239e+02 6.750254821777343750e+01 4.439620018005371094e+00
-1.504999982416629791e+02 6.857450866699218750e+01 4.196572303771972656e+00
-1.494999981820583344e+02 7.344674682617187500e+01 9.155082702636718750e+00
-1.484999981224536896e+02 8.301539611816406250e+01 1.804554176330566406e+01
-1.474999980628490448e+02 9.937767028808593750e+01 3.801782608032226562e+01
-1.464999980032444000e+02 1.381688537597656250e+02 9.096997070312500000e+01
-1.454999979436397552e+02 1.858493041992187500e+02 1.554237976074218750e+02
-1.444999978840351105e+02 1.561827545166015625e+02 9.890515136718750000e+01
-1.434999978244304657e+02 1.084015579223632812e+02 4.219850921630859375e+01
-1.424999977648258209e+02 8.976522827148437500e+01 2.276280021667480469e+01
-1.414999977052211761e+02 8.194158172607421875e+01 1.532044029235839844e+01
-1.404999976456165314e+02 7.606471252441406250e+01 1.282107257843017578e+01
-1.394999975860118866e+02 7.334867858886718750e+01 9.393947601318359375e+00
-1.384999975264072418e+02 6.962288665771484375e+01 7.342569828033447266e+00
-1.374999974668025970e+02 6.893367004394531250e+01 8.444296836853027344e+00
-1.364999974071979523e+02 7.026459503173828125e+01 1.283250236511230469e+01
-1.354999973475933075e+02 7.193779754638671875e+01 1.605998992919921875e+01
