gamma  mean  std
-1.794999999701976776e+02 5.530347061157226562e+01 1.678968811035156250e+01
-1.784999999105930328e+02 5.215259170532226562e+01 1.413909721374511719e+01
-1.774999998509883881e+02 4.531835174560546875e+01 6.721234321594238281e+00
-1.764999997913837433e+02 4.492485046386718750e+01 3.301888465881347656e+00
-1.754999997317790985e+02 4.715410995483398438e+01 5.028296470642089844e+00
-1.744999996721744253e+02 4.787448501586914062e+01 6.767761230468750000e+00
-1.734999996125698090e+02 4.652056884765625000e+01 3.658354043960571289e+00
-1.724999995529651642e+02 4.621950149536132812e+01 2.489006280899047852e+00
-1.714999994933605194e+02 4.713879776000976562e+01 3.538891077041625977e+00
-1.704999994337558746e+02 4.790024948120117188e+01 6.576477050781250000e+00
-1.694999993741512299e+02 4.616066360473632812e+01 4.159628868103027344e+00
-1.684999993145465851e+02 4.497092437744140625e+01 2.637110710144042969e+00
-1.674999992549419403e+02 4.220864486694335938e+01 1.562590837478637695e+00
-1.664999991953372955e+02 4.215703964233398438e+01 1.826073646545410156e+00
-1.654999991357326508e+02 4.096996688842773438e+01 1.637216567993164062e+00
-1.644999990761280060e+02 4.119647979736328125e+01 1.956750869750976562e+00
-1.634999990165233612e+02 4.004975891113281250e+01 2.234478712081909180e+00
-1.624999989569187164e+02 4.026177597045898438e+01 2.543207168579101562e+00
-1.614999988973140717e+02 3.965122604370117188e+01 3.015737533569335938e+00
-1.604999988377094269e+02 3.994828796386718750e+01 2.546560287475585938e+00
-1.594999987781047821e+02 4.015332031250000000e+01 2.497085809707641602e+00
-1.584999987185001373e+02 3.983058547973632812e+01 2.756070613861083984e+00
-1.574999986588954926e+02 4.010192489624023438e+01 2.205326318740844727e+00
-1.564999985992908478e+02 4.030149841308593750e+01 1.695513248443603516e+00
-1.554999985396862030e+02 4.110866546630859375e+01 1.375802516937255859e+00
-1.544999984800815582e+02 4.158280944824218750e+01 1.591527581214904785e+00
-1.534999984204769135e+02 4.190500640869140625e+01 1.055054783821105957e+00
-1.524999983608722687e+02 4.068477249145507812e+01 1.748254179954528809e+00
-1.514999983012676239e+02 4.095495986938476562e+01 1.792834997177124023e+00
-1.504999982416629791e+02 3.987917327880859375e+01 2.068823099136352539e+00
-1.494999981820583344e+02 3.874983596801757812e+01 2.117435455322265625e+00
-1.484999981224536896e+02 3.966847991943359375e+01 2.497283220291137695e+00
-1.474999980628490448e+02 3.926012802124023438e+01 1.929900527000427246e+00
-1.464999980032444000e+02 3.889838027954101562e+01 2.632739543914794922e+00
-1.454999979436397552e+02 3.921282577514648438e+01 2.595283985137939453e+00
-1.444999978840351105e+02 3.954999542236328125e+01 1.433792829513549805e+00
-1.434999978244304657e+02 3.996644973754882812e+01 2.760226726531982422e+00
-1.424999977648258209e+02 4.007941436767578125e+01 1.962420105934143066e+00
-1.414999977052211761e+02 4.020574951171875000e+01 1.753582239151000977e+00
-1.404999976456165314e+02 4.229081344604492188e+01 3.230864048004150391e+00
-1.394999975860118866e+02 4.573152923583984375e+01 5.802488803863525391e+00
-1.384999975264072418e+02 5.758585357666015625e+01 1.936934089660644531e+01
-1.374999974668025970e+02 6.800701904296875000e+01 3.092922210693359375e+01
-1.364999974071979523e+02 5.167043304443359375e+01 1.112895202636718750e+01
-1.354999973475933075e+02 4.318578720092773438e+01 2.967160463333129883e+00
-1.344999972879886627e+02 4.054433822631835938e+01 2.341124773025512695e+00
-1.334999972283840179e+02 4.078220748901367188e+01 3.425913095474243164e+00
-1.324999971687793732e+02 4.331636428833007812e+01 6.536467075347900391e+00
-1.314999971091747284e+02 4.550513076782226562e+01 8.410420417785644531e+00
-1.304999970495700836e+02 4.333304977416992188e+01 5.038819313049316406e+00
-1.294999969899654388e+02 4.007146835327148438e+01 2.742675542831420898e+00
-1.284999969303607941e+02 3.874752426147460938e+01 2.173438072204589844e+00
-1.274999968707561493e+02 3.831730651855468750e+01 2.095511436462402344e+00
-1.264999968111514903e+02 3.797683334350585938e+01 1.968377590179443359e+00
-1.254999967515468740e+02 3.882732772827148438e+01 2.023567914962768555e+00
-1.244999966919422150e+02 3.878606796264648438e+01 2.766332387924194336e+00
-1.234999966323375702e+02 3.895703887939453125e+01 2.119042634963989258e+00
-1.224999965727329112e+02 4.041695404052734375e+01 2.801677465438842773e+00
-1.214999965131282806e+02 4.116292953491210938e+01 3.278949737548828125e+00
-1.204999964535236359e+02 4.109978485107421875e+01 4.057392120361328125e+00
-1.194999963939190053e+02 4.120590591430664062e+01 2.991790533065795898e+00
-1.184999963343143605e+02 4.016292572021484375e+01 3.320369482040405273e+00
-1.174999962747097015e+02 3.952638626098632812e+01 2.875042676925659180e+00
-1.164999962151050568e+02 3.911466979980468750e+01 2.850495576858520508e+00
-1.154999961555003978e+02 3.901753234863281250e+01 2.677080154418945312e+00
-1.144999960958957672e+02 3.865821075439453125e+01 2.692626953125000000e+00
