gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 6.540268707275390625e+01 3.067336082458496094e+00
-1.774999998509883881e+02 6.582872009277343750e+01 4.317720413208007812e+00
-1.764999997913837433e+02 6.673683166503906250e+01 5.606398105621337891e+00
-1.754999997317790985e+02 6.605824279785156250e+01 4.736330032348632812e+00
-1.744999996721744253e+02 6.480786895751953125e+01 2.627005577087402344e+00
-1.734999996125698090e+02 6.551152038574218750e+01 2.588043212890625000e+00
-1.724999995529651642e+02 6.463261413574218750e+01 2.226497888565063477e+00
-1.714999994933605194e+02 6.672925567626953125e+01 2.609626054763793945e+00
-1.704999994337558746e+02 6.833664703369140625e+01 2.881931304931640625e+00
-1.694999993741512299e+02 6.704782104492187500e+01 2.055824756622314453e+00
-1.684999993145465851e+02 6.505368804931640625e+01 2.121091842651367188e+00
-1.674999992549419403e+02 6.597819519042968750e+01 2.439701318740844727e+00
-1.664999991953372955e+02 6.524108886718750000e+01 2.601016521453857422e+00
-1.654999991357326508e+02 6.522459411621093750e+01 2.806453227996826172e+00
-1.644999990761280060e+02 6.477599334716796875e+01 2.009331464767456055e+00
-1.634999990165233612e+02 6.550952148437500000e+01 2.134554386138916016e+00
-1.624999989569187164e+02 6.652161407470703125e+01 2.193265914916992188e+00
-1.614999988973140717e+02 6.690435028076171875e+01 2.931109666824340820e+00
-1.604999988377094269e+02 6.882549285888671875e+01 4.445742607116699219e+00
-1.594999987781047821e+02 7.085980987548828125e+01 8.508368492126464844e+00
-1.584999987185001373e+02 7.017456817626953125e+01 9.016936302185058594e+00
-1.574999986588954926e+02 7.041403198242187500e+01 1.228247833251953125e+01
-1.564999985992908478e+02 6.630786895751953125e+01 4.062015056610107422e+00
-1.554999985396862030e+02 6.534214019775390625e+01 2.260094642639160156e+00
-1.544999984800815582e+02 6.558395385742187500e+01 2.393436431884765625e+00
-1.534999984204769135e+02 6.702367401123046875e+01 2.605292320251464844e+00
-1.524999983608722687e+02 6.694528198242187500e+01 4.374816894531250000e+00
-1.514999983012676239e+02 6.616698455810546875e+01 4.187022209167480469e+00
-1.504999982416629791e+02 6.550071716308593750e+01 2.359050512313842773e+00
-1.494999981820583344e+02 6.446649169921875000e+01 2.400999069213867188e+00
-1.484999981224536896e+02 6.450457000732421875e+01 2.207580089569091797e+00
-1.474999980628490448e+02 6.514560699462890625e+01 2.478417396545410156e+00
-1.464999980032444000e+02 6.386911773681640625e+01 2.199477195739746094e+00
-1.454999979436397552e+02 6.418401336669921875e+01 1.683150768280029297e+00
-1.444999978840351105e+02 6.456654357910156250e+01 1.356230020523071289e+00
-1.434999978244304657e+02 6.431027984619140625e+01 1.562015771865844727e+00
-1.424999977648258209e+02 6.448139190673828125e+01 1.828533172607421875e+00
-1.414999977052211761e+02 6.474765777587890625e+01 1.786730527877807617e+00
-1.404999976456165314e+02 6.542926788330078125e+01 1.631027102470397949e+00
-1.394999975860118866e+02 6.491413879394531250e+01 2.213560104370117188e+00
-1.384999975264072418e+02 6.555809020996093750e+01 2.886028289794921875e+00
-1.374999974668025970e+02 6.722341918945312500e+01 4.201274871826171875e+00
-1.364999974071979523e+02 6.694766998291015625e+01 4.645465850830078125e+00
-1.354999973475933075e+02 6.809305572509765625e+01 4.527550697326660156e+00
-1.344999972879886627e+02 7.261396789550781250e+01 1.322195625305175781e+01
-1.334999972283840179e+02 7.115146636962890625e+01 1.111154937744140625e+01
-1.324999971687793732e+02 6.679087829589843750e+01 3.604289531707763672e+00
-1.314999971091747284e+02 6.555870819091796875e+01 2.305905818939208984e+00
-1.304999970495700836e+02 6.699106597900390625e+01 3.102971553802490234e+00
-1.294999969899654388e+02 6.865253448486328125e+01 3.894961357116699219e+00
-1.284999969303607941e+02 6.798238372802734375e+01 4.035257816314697266e+00
-1.274999968707561493e+02 6.786740112304687500e+01 3.746226787567138672e+00
-1.264999968111514903e+02 6.589910125732421875e+01 3.567718744277954102e+00
-1.254999967515468740e+02 6.388205718994140625e+01 1.753646135330200195e+00
-1.244999966919422150e+02 6.408399200439453125e+01 2.265047550201416016e+00
-1.234999966323375702e+02 6.282299423217773438e+01 4.927674293518066406e+00
-1.224999965727329112e+02 7.758805847167968750e+01 3.311669921875000000e+01
-1.214999965131282806e+02 1.682705841064453125e+02 2.195977935791015625e+02
-1.204999964535236359e+02 3.691042175292968750e+02 6.309611206054687500e+02
-1.194999963939190053e+02 4.073615112304687500e+02 7.159003295898437500e+02
-1.184999963343143605e+02 2.224954681396484375e+02 3.387511596679687500e+02
-1.174999962747097015e+02 9.757555389404296875e+01 8.442330169677734375e+01
-1.164999962151050568e+02 6.101396942138671875e+01 1.030591678619384766e+01
-1.154999961555003978e+02 5.621291351318359375e+01 1.479521393775939941e+00
-1.144999960958957672e+02 5.650008773803710938e+01 1.493755459785461426e+00
-1.134999960362911224e+02 5.607763290405273438e+01 2.389117717742919922e+00
-1.124999959766864777e+02 5.598978424072265625e+01 2.569686174392700195e+00
-1.114999959170818329e+02 5.539023208618164062e+01 1.958435058593750000e+00
-1.104999958574771881e+02 5.553993606567382812e+01 1.241737365722656250e+00
-1.094999957978725291e+02 5.601084518432617188e+01 2.258820533752441406e+00
-1.084999957382678986e+02 5.757311248779296875e+01 3.832010507583618164e+00
-1.074999956786632538e+02 5.749747467041015625e+01 3.181218624114990234e+00
-1.064999956190586090e+02 5.509854507446289062e+01 2.055760145187377930e+00
-1.054999955594539642e+02 5.505496978759765625e+01 1.886423587799072266e+00
-1.044999954998493195e+02 5.503585433959960938e+01 1.806473016738891602e+00
-1.034999954402446747e+02 5.560668182373046875e+01 2.180835962295532227e+00
-1.024999953806400299e+02 5.561952209472656250e+01 1.734682798385620117e+00
-1.014999953210353851e+02 5.557213592529296875e+01 1.174701690673828125e+00
-1.004999952614307404e+02 5.662952041625976562e+01 2.700082302093505859e+00
-9.949999520182609558e+01 6.332776641845703125e+01 1.369284820556640625e+01
-9.849999514222145081e+01 9.977562713623046875e+01 8.608424377441406250e+01
-9.749999508261680603e+01 1.996910705566406250e+02 2.947823791503906250e+02
-9.649999502301216125e+01 2.482120666503906250e+02 3.902442016601562500e+02
-9.549999496340751648e+01 1.186433792114257812e+02 1.244791641235351562e+02
-9.449999490380287170e+01 6.343320465087890625e+01 1.483905124664306641e+01
-9.349999484419822693e+01 6.206560516357421875e+01 7.844284534454345703e+00
-9.249999478459358215e+01 8.650084686279296875e+01 3.465930938720703125e+01
-9.149999472498893738e+01 1.937565155029296875e+02 1.983860321044921875e+02
-9.049999466538429260e+01 2.285020904541015625e+02 2.457712402343750000e+02
-8.949999460577964783e+01 1.471758422851562500e+02 1.327128601074218750e+02
-8.849999454617500305e+01 1.370415344238281250e+02 1.475166168212890625e+02
-8.749999448657035828e+01 8.019055938720703125e+01 5.190106582641601562e+01
-8.649999442696571350e+01 5.713642883300781250e+01 8.172300338745117188e+00
-8.549999436736106873e+01 5.291720199584960938e+01 1.992298007011413574e+00
-8.449999430775642395e+01 5.126406097412109375e+01 1.576990962028503418e+00
-8.349999424815177917e+01 5.174025726318359375e+01 1.648625969886779785e+00
