row  column  w(Ti_K)  w(V_K)  Ti_K  V_K  s(Ti_K)  s(V_K)  chisq
92  0  1  0.27738  36657  16306.9  1603.61  722.136  1.60739
93  0  1  0.285502  35707.2  16349.5  792.101  382.097  1.62801
94  0  1  0.571255  411.438  376.941  532.553  566.655  1.98658
95  0  1  0.293427  39912.4  18782.3  293.619  181.927  1.67897
96  0  1  0.278407  45757.1  20430.4  474.049  249.157  1.69319
97  0  1  0.321201  523.399  269.618  679.289  270.009  2.09349
98  0  1  0.282086  39241.1  17752.6  1718.26  791.151  1.73331
99  0  1  0.267957  37066.5  15928.9  441.271  221.358  1.58842
100  0  1  0.265671  24304.4  10355.4  1037.36  446.692  1.60079
101  0  1  0.261419  38107.5  15976.7  1815.99  772.015  1.69467
102  0  1  0.366172  5.22737  3.06978  171.958  137.147  2.11115
103  0  1  1.01372  37.1315  60.3674  442.79  596.148  2.25168
104  0  1  0.298609  33733.4  16154.9  1171.8  581.64  1.604
105  0  1  0.180557  280.865  81.3304  72.7307  30.333  2.17486
106  0  1  0.277984  37058.6  16521.4  810.897  374.846  2.00881
107  0  1  0.273873  37012.1  16256.7  335.567  187.133  1.64131
108  0  1  0.294861  37281.1  17629.7  216.496  156.108  1.7161
109  0  1  0.298023  32216.6  15398.2  411.326  223.711  1.54358
110  0  1  0.277847  28248.8  12587.7  910.143  417.863  1.60849
111  0  1  0.0508766  11.7356  0.957555  72.131  16.5264  2.11336
112  0  1  0.264761  38093.3  16174.9  304.796  177.041  1.68019
113  0  1  0.265615  35456.1  15103.7  415.892  206.46  1.64192
114  0  1  0.267853  36471.9  15667.3  1711.32  745.848  1.68377
115  0  1  0.299371  33592.6  16128.5  465.579  246.586  1.59609
116  0  1  0.278389  39481.3  17627.2  1973.06  886.969  1.73229
117  0  1  0.297218  32083  15292.9  242.394  158.344  1.63423
118  0  1  0.310279  31076.3  15464  198.71  146.849  1.87059
119  0  1  0.263057  37355.9  15759.7  752.245  336.555  1.63169
120  0  1  0.263312  32996.2  13933.9  652.996  295.971  1.57788

