gamma  mean  std
-1.794999999701976776e+02 1.924832344055175781e+01 3.777442932128906250e+01
-1.784999999105930328e+02 2.295388603210449219e+01 4.469489288330078125e+01
-1.774999998509883881e+02 2.712007713317871094e+01 5.395555877685546875e+01
-1.764999997913837433e+02 2.690004539489746094e+01 5.350392150878906250e+01
-1.754999997317790985e+02 2.655613327026367188e+01 5.270228576660156250e+01
-1.744999996721744253e+02 3.081668853759765625e+01 6.559324645996093750e+01
-1.734999996125698090e+02 2.435948562622070312e+01 4.801883316040039062e+01
-1.724999995529651642e+02 2.856988334655761719e+01 5.647887420654296875e+01
-1.714999994933605194e+02 2.705865859985351562e+01 5.470248794555664062e+01
-1.704999994337558746e+02 2.401005172729492188e+01 4.632474517822265625e+01
-1.694999993741512299e+02 2.733901214599609375e+01 5.534400177001953125e+01
-1.684999993145465851e+02 2.195914649963378906e+01 4.304098510742187500e+01
-1.674999992549419403e+02 2.208912086486816406e+01 4.251380538940429688e+01
-1.664999991953372955e+02 2.410917854309082031e+01 5.107261276245117188e+01
-1.654999991357326508e+02 1.995833396911621094e+01 3.963985824584960938e+01
-1.644999990761280060e+02 1.696804046630859375e+01 3.164668464660644531e+01
-1.634999990165233612e+02 1.847714042663574219e+01 3.715690994262695312e+01
-1.624999989569187164e+02 1.509695243835449219e+01 2.785664367675781250e+01
-1.614999988973140717e+02 1.456659793853759766e+01 2.826806068420410156e+01
-1.604999988377094269e+02 1.472393226623535156e+01 3.003795623779296875e+01
-1.594999987781047821e+02 1.330297660827636719e+01 2.493350982666015625e+01
-1.584999987185001373e+02 1.613705253601074219e+01 3.743724441528320312e+01
-1.574999986588954926e+02 9.269306182861328125e+00 1.570230865478515625e+01
-1.564999985992908478e+02 8.416492462158203125e+00 1.403860855102539062e+01
-1.554999985396862030e+02 8.585247993469238281e+00 1.677953147888183594e+01
-1.544999984800815582e+02 5.811299324035644531e+00 8.247575759887695312e+00
-1.534999984204769135e+02 6.905470848083496094e+00 1.030925655364990234e+01
-1.524999983608722687e+02 7.813199043273925781e+00 1.356588745117187500e+01
-1.514999983012676239e+02 6.287437438964843750e+00 9.636487007141113281e+00
-1.504999982416629791e+02 4.394383430480957031e+00 5.409377574920654297e+00
-1.494999981820583344e+02 4.183462619781494141e+00 5.902905464172363281e+00
-1.484999981224536896e+02 4.829513072967529297e+00 7.078857421875000000e+00
-1.474999980628490448e+02 4.651995182037353516e+00 6.496864318847656250e+00
