gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 6.631261348724365234e+00 8.353576660156250000e+00
-1.774999998509883881e+02 7.476207256317138672e+00 9.445528984069824219e+00
-1.764999997913837433e+02 5.505179882049560547e+00 5.501324653625488281e+00
-1.754999997317790985e+02 6.457071781158447266e+00 7.484672546386718750e+00
-1.744999996721744253e+02 6.589508056640625000e+00 7.454286098480224609e+00
-1.734999996125698090e+02 6.434261798858642578e+00 7.212223052978515625e+00
-1.724999995529651642e+02 6.748805522918701172e+00 6.084080696105957031e+00
-1.714999994933605194e+02 9.125620841979980469e+00 1.278986930847167969e+01
-1.704999994337558746e+02 8.463330268859863281e+00 1.015894508361816406e+01
-1.694999993741512299e+02 6.669282913208007812e+00 7.470699787139892578e+00
-1.684999993145465851e+02 9.298967361450195312e+00 1.399765682220458984e+01
-1.674999992549419403e+02 7.112432003021240234e+00 8.543319702148437500e+00
-1.664999991953372955e+02 6.097733020782470703e+00 7.272904872894287109e+00
-1.654999991357326508e+02 1.143769741058349609e+01 1.780699157714843750e+01
-1.644999990761280060e+02 8.334103584289550781e+00 1.046737480163574219e+01
-1.634999990165233612e+02 8.780126571655273438e+00 1.184102725982666016e+01
-1.624999989569187164e+02 1.249827861785888672e+01 1.940902900695800781e+01
-1.614999988973140717e+02 7.916974544525146484e+00 9.940708160400390625e+00
-1.604999988377094269e+02 7.262195110321044922e+00 9.586798667907714844e+00
-1.594999987781047821e+02 9.250555038452148438e+00 1.243820190429687500e+01
-1.584999987185001373e+02 1.344142436981201172e+01 2.218904685974121094e+01
-1.574999986588954926e+02 1.334092712402343750e+01 2.297496986389160156e+01
-1.564999985992908478e+02 1.068311309814453125e+01 1.674931526184082031e+01
-1.554999985396862030e+02 1.192162322998046875e+01 2.010707283020019531e+01
-1.544999984800815582e+02 7.662430286407470703e+00 9.583765983581542969e+00
-1.534999984204769135e+02 7.239276409149169922e+00 8.770723342895507812e+00
-1.524999983608722687e+02 6.680278301239013672e+00 7.625398159027099609e+00
-1.514999983012676239e+02 1.181818008422851562e+01 1.930850028991699219e+01
-1.504999982416629791e+02 1.128455352783203125e+01 1.820892333984375000e+01
-1.494999981820583344e+02 1.237288570404052734e+01 1.951406669616699219e+01
-1.484999981224536896e+02 1.168693542480468750e+01 1.831053161621093750e+01
-1.474999980628490448e+02 1.002441406250000000e+01 1.458393383026123047e+01
-1.464999980032444000e+02 9.291457176208496094e+00 1.216908168792724609e+01
-1.454999979436397552e+02 1.937802314758300781e+01 3.504293441772460938e+01
-1.444999978840351105e+02 2.151226997375488281e+01 3.926034164428710938e+01
-1.434999978244304657e+02 1.811327743530273438e+01 3.190988731384277344e+01
-1.424999977648258209e+02 1.149094772338867188e+01 1.677194976806640625e+01
-1.414999977052211761e+02 1.676338195800781250e+01 2.818082618713378906e+01
-1.404999976456165314e+02 2.032001876831054688e+01 3.716952514648437500e+01
-1.394999975860118866e+02 1.715513038635253906e+01 3.049842453002929688e+01
-1.384999975264072418e+02 2.160200500488281250e+01 3.951499176025390625e+01
-1.374999974668025970e+02 1.949474906921386719e+01 3.339758682250976562e+01
-1.364999974071979523e+02 2.940316009521484375e+01 6.158671569824218750e+01
-1.354999973475933075e+02 1.718045997619628906e+01 2.924208641052246094e+01
-1.344999972879886627e+02 1.602514457702636719e+01 2.478599166870117188e+01
-1.334999972283840179e+02 2.203464317321777344e+01 3.778177261352539062e+01
-1.324999971687793732e+02 2.120655632019042969e+01 3.660727310180664062e+01
-1.314999971091747284e+02 2.675585746765136719e+01 5.283618164062500000e+01
-1.304999970495700836e+02 2.507810211181640625e+01 4.560490417480468750e+01
-1.294999969899654388e+02 2.323196220397949219e+01 4.306760787963867188e+01
-1.284999969303607941e+02 3.619182205200195312e+01 7.167317199707031250e+01
-1.274999968707561493e+02 3.807048797607421875e+01 7.957714080810546875e+01
-1.264999968111514903e+02 3.049287414550781250e+01 5.822463607788085938e+01
-1.254999967515468740e+02 3.085198211669921875e+01 5.478530502319335938e+01
-1.244999966919422150e+02 2.724073982238769531e+01 4.880533981323242188e+01
-1.234999966323375702e+02 3.252799987792968750e+01 6.016501617431640625e+01
-1.224999965727329112e+02 3.293830490112304688e+01 6.249520874023437500e+01
-1.214999965131282806e+02 3.223421096801757812e+01 6.162965774536132812e+01
