gamma  mean  std
-1.794999999701976776e+02 0.000000000000000000e+00 0.000000000000000000e+00
-1.784999999105930328e+02 8.055211067199707031e+00 1.023372936248779297e+01
-1.774999998509883881e+02 6.374403476715087891e+00 7.084354400634765625e+00
-1.764999997913837433e+02 6.611377239227294922e+00 7.967731475830078125e+00
-1.754999997317790985e+02 8.099516868591308594e+00 1.065059471130371094e+01
-1.744999996721744253e+02 9.350884437561035156e+00 1.407451248168945312e+01
-1.734999996125698090e+02 7.407196521759033203e+00 8.863308906555175781e+00
-1.724999995529651642e+02 7.568885326385498047e+00 1.006885814666748047e+01
-1.714999994933605194e+02 6.343881130218505859e+00 7.331313133239746094e+00
-1.704999994337558746e+02 1.015044403076171875e+01 1.433439826965332031e+01
-1.694999993741512299e+02 1.216751575469970703e+01 2.020452880859375000e+01
-1.684999993145465851e+02 6.832902431488037109e+00 7.893789768218994141e+00
-1.674999992549419403e+02 7.853807926177978516e+00 9.915987014770507812e+00
-1.664999991953372955e+02 1.088588714599609375e+01 1.685049057006835938e+01
-1.654999991357326508e+02 8.633772850036621094e+00 1.211406993865966797e+01
-1.644999990761280060e+02 1.371298694610595703e+01 2.329765129089355469e+01
-1.634999990165233612e+02 8.495416641235351562e+00 1.228003215789794922e+01
-1.624999989569187164e+02 8.219288825988769531e+00 1.096966838836669922e+01
-1.614999988973140717e+02 9.200193405151367188e+00 1.283576011657714844e+01
-1.604999988377094269e+02 9.938013076782226562e+00 1.513662338256835938e+01
-1.594999987781047821e+02 9.410922050476074219e+00 1.367157077789306641e+01
-1.584999987185001373e+02 8.773157119750976562e+00 1.103575801849365234e+01
-1.574999986588954926e+02 8.020653724670410156e+00 1.049044227600097656e+01
-1.564999985992908478e+02 1.000210380554199219e+01 1.435982799530029297e+01
-1.554999985396862030e+02 9.517953872680664062e+00 1.394691371917724609e+01
-1.544999984800815582e+02 8.602278709411621094e+00 1.129786300659179688e+01
-1.534999984204769135e+02 9.658207893371582031e+00 1.277656555175781250e+01
-1.524999983608722687e+02 1.031287670135498047e+01 1.464762020111083984e+01
-1.514999983012676239e+02 9.278317451477050781e+00 1.252771186828613281e+01
-1.504999982416629791e+02 9.129137992858886719e+00 1.287783050537109375e+01
-1.494999981820583344e+02 1.152114582061767578e+01 1.772181701660156250e+01
-1.484999981224536896e+02 1.099166011810302734e+01 1.594816970825195312e+01
-1.474999980628490448e+02 1.542752075195312500e+01 2.611431121826171875e+01
-1.464999980032444000e+02 1.184230136871337891e+01 1.891188430786132812e+01
-1.454999979436397552e+02 1.660599708557128906e+01 2.942849159240722656e+01
-1.444999978840351105e+02 1.577342891693115234e+01 2.622916793823242188e+01
-1.434999978244304657e+02 1.751017379760742188e+01 3.041284561157226562e+01
-1.424999977648258209e+02 1.931637191772460938e+01 3.427370071411132812e+01
-1.414999977052211761e+02 2.656162452697753906e+01 5.080220031738281250e+01
-1.404999976456165314e+02 2.306105232238769531e+01 4.203833007812500000e+01
-1.394999975860118866e+02 1.736809158325195312e+01 2.834727859497070312e+01
-1.384999975264072418e+02 2.225190925598144531e+01 4.161326217651367188e+01
-1.374999974668025970e+02 2.533481025695800781e+01 4.565179443359375000e+01
-1.364999974071979523e+02 1.976161003112792969e+01 3.461398696899414062e+01
-1.354999973475933075e+02 3.101611328125000000e+01 6.494368743896484375e+01
-1.344999972879886627e+02 2.277348899841308594e+01 4.051422500610351562e+01
-1.334999972283840179e+02 2.777754402160644531e+01 5.202137756347656250e+01
-1.324999971687793732e+02 2.776547431945800781e+01 4.996848678588867188e+01
-1.314999971091747284e+02 2.453752708435058594e+01 4.403712463378906250e+01
-1.304999970495700836e+02 2.741033744812011719e+01 4.920774841308593750e+01
-1.294999969899654388e+02 2.926223182678222656e+01 5.563174438476562500e+01
-1.284999969303607941e+02 3.627580261230468750e+01 7.459861755371093750e+01
-1.274999968707561493e+02 3.600400924682617188e+01 7.312137603759765625e+01
-1.264999968111514903e+02 3.538785171508789062e+01 6.842962646484375000e+01
-1.254999967515468740e+02 3.053391265869140625e+01 5.252965927124023438e+01
-1.244999966919422150e+02 2.786452484130859375e+01 4.712773132324218750e+01
-1.234999966323375702e+02 3.699441146850585938e+01 6.751756286621093750e+01
-1.224999965727329112e+02 3.353274154663085938e+01 6.151311492919921875e+01
-1.214999965131282806e+02 3.560505676269531250e+01 6.748652648925781250e+01
-1.204999964535236359e+02 3.216855239868164062e+01 6.015643692016601562e+01
-1.194999963939190053e+02 2.871133232116699219e+01 5.137697601318359375e+01
-1.184999963343143605e+02 3.067409324645996094e+01 5.663261413574218750e+01
-1.174999962747097015e+02 2.908020591735839844e+01 5.288244628906250000e+01
-1.164999962151050568e+02 2.433756065368652344e+01 4.566373825073242188e+01
-1.154999961555003978e+02 1.973781585693359375e+01 3.472332763671875000e+01
-1.144999960958957672e+02 2.069763374328613281e+01 3.561942291259765625e+01
-1.134999960362911224e+02 1.995516586303710938e+01 3.376086807250976562e+01
-1.124999959766864777e+02 1.645015525817871094e+01 2.882855987548828125e+01
-1.114999959170818329e+02 1.300775241851806641e+01 2.154693984985351562e+01
-1.104999958574771881e+02 1.297792720794677734e+01 2.284002685546875000e+01
-1.094999957978725291e+02 1.456359100341796875e+01 2.600615119934082031e+01
-1.084999957382678986e+02 8.166753768920898438e+00 1.192440605163574219e+01
-1.074999956786632538e+02 9.155938148498535156e+00 1.321706008911132812e+01
-1.064999956190586090e+02 5.613396167755126953e+00 6.421784400939941406e+00
-1.054999955594539642e+02 4.688496589660644531e+00 4.853638648986816406e+00
-1.044999954998493195e+02 7.286073207855224609e+00 1.024841022491455078e+01
-1.034999954402446747e+02 5.131884098052978516e+00 6.440296173095703125e+00
-1.024999953806400299e+02 6.638387203216552734e+00 1.009606456756591797e+01
-1.014999953210353851e+02 6.325808048248291016e+00 8.633717536926269531e+00
