gamma  mean  std
-1.794999999701976776e+02 4.859116077423095703e+00 5.919678211212158203e+00
-1.784999999105930328e+02 5.691841602325439453e+00 7.041567802429199219e+00
-1.774999998509883881e+02 6.025499820709228516e+00 8.329330444335937500e+00
-1.764999997913837433e+02 6.342961311340332031e+00 8.727733612060546875e+00
-1.754999997317790985e+02 6.826227188110351562e+00 9.835997581481933594e+00
-1.744999996721744253e+02 7.545306682586669922e+00 1.116000175476074219e+01
-1.734999996125698090e+02 7.434831619262695312e+00 1.100086784362792969e+01
-1.724999995529651642e+02 7.871089458465576172e+00 1.190127754211425781e+01
-1.714999994933605194e+02 8.465425491333007812e+00 1.304207134246826172e+01
-1.704999994337558746e+02 9.722803115844726562e+00 1.570755672454833984e+01
-1.694999993741512299e+02 9.781439781188964844e+00 1.510751533508300781e+01
-1.684999993145465851e+02 1.026382064819335938e+01 1.658330917358398438e+01
-1.674999992549419403e+02 1.126786231994628906e+01 1.802584838867187500e+01
-1.664999991953372955e+02 1.107140254974365234e+01 1.826307487487792969e+01
-1.654999991357326508e+02 1.238665676116943359e+01 2.067455291748046875e+01
-1.644999990761280060e+02 1.352458858489990234e+01 2.261754608154296875e+01
-1.634999990165233612e+02 1.337807559967041016e+01 2.202393150329589844e+01
-1.624999989569187164e+02 1.413000679016113281e+01 2.383621215820312500e+01
-1.614999988973140717e+02 1.443913936614990234e+01 2.450273513793945312e+01
-1.604999988377094269e+02 1.436784839630126953e+01 2.428362464904785156e+01
-1.594999987781047821e+02 1.484416007995605469e+01 2.485457992553710938e+01
-1.584999987185001373e+02 1.502777004241943359e+01 2.506399345397949219e+01
-1.574999986588954926e+02 1.548428249359130859e+01 2.689881896972656250e+01
-1.564999985992908478e+02 1.580167675018310547e+01 2.699686050415039062e+01
-1.554999985396862030e+02 1.478389072418212891e+01 2.487019920349121094e+01
-1.544999984800815582e+02 1.447647666931152344e+01 2.438256263732910156e+01
-1.534999984204769135e+02 1.411030673980712891e+01 2.316745185852050781e+01
-1.524999983608722687e+02 1.359629917144775391e+01 2.224625396728515625e+01
-1.514999983012676239e+02 1.257661533355712891e+01 2.065451049804687500e+01
-1.504999982416629791e+02 1.216095447540283203e+01 1.991305541992187500e+01
-1.494999981820583344e+02 1.164444541931152344e+01 1.842280387878417969e+01
-1.484999981224536896e+02 1.090840721130371094e+01 1.732906723022460938e+01
-1.474999980628490448e+02 1.007652282714843750e+01 1.580260753631591797e+01
-1.464999980032444000e+02 8.891111373901367188e+00 1.411722564697265625e+01
-1.454999979436397552e+02 7.446093559265136719e+00 1.089752769470214844e+01
-1.444999978840351105e+02 7.293602466583251953e+00 1.094087028503417969e+01
-1.434999978244304657e+02 7.191731929779052734e+00 1.028137016296386719e+01
-1.424999977648258209e+02 6.124175548553466797e+00 8.663562774658203125e+00
