Two Theta (degrees),Intensity
0.49810044231036454,2.021204
0.5356053990953532,2.214147
0.5731103558803419,2.2404802
0.6106153126653305,1.7197711
0.6481202694503192,1.723984
0.6856252262353079,1.7565782
0.7231301830202966,1.3979589
0.7606351398052853,1.5531907
0.798140096590274,1.849757
0.8356450533752626,1.9959342
0.8731500101602513,1.8454689
0.91065496694524,1.5299397
0.9481599237302286,1.5322332
0.9856648805152174,1.7806177
1.023169837300206,1.96611
1.0606747940851946,2.0481257
1.0981797508701834,1.9629463
1.135684707655172,1.9764935
1.1731896644401607,1.998526
1.2106946212251493,1.8972366
1.248199578010138,1.7812647
1.2857045347951266,1.7119093
1.3232094915801154,1.9531345
1.3607144483651041,2.088849
1.3982194051500927,1.9956691
1.4357243619350815,1.8058848
1.47322931872007,1.7856883
1.510734275505059,1.8140918
1.5482392322900473,1.8671328
1.5857441890750363,1.9862248
1.6232491458600247,1.9621867
1.6607541026450137,1.9759609
1.698259059430002,2.138969
1.735764016214991,2.2463233
1.7732689729999793,2.8457825
1.8107739297849683,4.8904004
1.8482788865699566,7.712509
1.8857838433549456,10.127427
1.923288800139934,11.316144
1.960793756924923,12.598619
1.9982987137099113,14.264748
2.0358036704949,15.937397
2.073308627279889,17.699646
2.1108135840648776,19.222128
2.148318540849866,20.203827
2.1858234976348547,21.71895
2.2233284544198435,23.153849
2.2608334112048323,24.554344
2.298338367989821,26.579931
2.33584332477481,28.16085
2.3733482815597986,29.98349
2.410853238344787,31.856047
2.4483581951297757,32.471104
2.4858631519147645,33.0228
2.5233681086997533,34.960793
2.5608730654847416,36.55647
2.5983780222697304,38.148594
2.635882979054719,39.074306
2.673387935839708,39.570927
2.7108928926246962,40.33781
2.748397849409685,40.57387
2.785902806194674,40.564514
2.8234077629796626,40.90672
2.860912719764651,40.885822
2.8984176765496397,40.67681
2.935922633334629,40.870777
2.973427590119617,41.270905
3.010932546904606,41.47305
3.0484375036895943,41.849167
3.0859424604745835,42.08004
3.123447417259572,41.90337
3.1609523740445606,41.882347
3.1984573308295494,42.017735
3.235962287614538,42.427986
3.2734672443995265,42.485596
3.3109722011845153,42.385735
3.348477157969504,42.739136
3.385982114754493,43.296875
3.423487071539481,43.31693
3.46099202832447,43.63419
3.4984969851094587,44.215816
3.5360019418944475,44.44037
3.573506898679436,44.516907
3.611011855464424,44.866936
3.648516812249413,45.169296
3.686021769034402,45.74913
3.7235267258193905,45.833813
3.7610316826043793,45.698063
3.7985366393893676,45.871796
3.836041596174357,46.27768
3.873546552959345,46.80451
3.911051509744334,47.313347
3.9485564665293222,48.23898
3.9860614233143115,48.497406
4.0235663800993,48.175518
4.061071336884289,49.215576
4.098576293669278,50.53361
4.136081250454266,51.174023
4.173586207239254,51.701736
4.211091164024244,52.253265
4.248596120809232,52.88856
4.286101077594221,53.18072
4.3236060343792095,53.950718
4.361110991164199,54.142067
4.398615947949187,54.222855
4.436120904734175,55.176907
4.473625861519164,56.02448
4.511130818304153,56.40059
4.548635775089141,56.65236
4.5861407318741305,57.38877
4.623645688659119,58.539658
4.661150645444108,59.38964
4.698655602229096,60.150772
4.736160559014085,61.101242
4.773665515799073,62.09564
4.811170472584062,63.159702
4.848675429369051,64.02505
4.88618038615404,64.419685
4.923685342939028,64.82209
4.961190299724017,65.385605
4.998695256509006,66.43644
5.036200213293994,67.90625
5.073705170078982,68.91886
5.111210126863972,69.6305
5.148715083648961,70.03888
5.186220040433949,70.6053
5.2237249972189375,71.30566
5.261229954003927,72.42181
5.298734910788915,73.01055
5.336239867573903,73.68069
5.373744824358893,74.60049
