Two Theta (degrees),Intensity
0.49810044231036454,3.617173
0.5356053990953532,3.2948315
0.5731103558803419,3.5785513
0.6106153126653305,3.4012718
0.6481202694503192,3.6748636
0.6856252262353079,4.1823516
0.7231301830202966,3.68616
0.7606351398052853,3.216682
0.798140096590274,3.3094661
0.8356450533752626,3.7429495
0.8731500101602513,3.9721508
0.91065496694524,3.882566
0.9481599237302286,3.9632037
0.9856648805152174,3.9244986
1.023169837300206,3.6060271
1.0606747940851946,3.4000945
1.0981797508701834,3.285127
1.135684707655172,3.5673754
1.1731896644401607,3.6738439
1.2106946212251493,3.5236077
1.248199578010138,3.4712183
1.2857045347951266,3.2162378
1.3232094915801154,3.1092813
1.3607144483651041,3.3351374
1.3982194051500927,3.4472585
1.4357243619350815,3.4217076
1.47322931872007,3.2843425
1.510734275505059,3.3672948
1.5482392322900473,3.2207868
1.5857441890750363,3.0198612
1.6232491458600247,3.1759267
1.6607541026450137,3.3859239
1.698259059430002,3.5717793
1.735764016214991,3.6562855
1.7732689729999793,5.1222863
1.8107739297849683,9.579023
1.8482788865699566,14.786495
1.8857838433549456,18.702997
1.923288800139934,22.05987
1.960793756924923,25.656118
1.9982987137099113,28.754284
2.0358036704949,31.798859
2.073308627279889,34.540318
2.1108135840648776,37.458656
2.148318540849866,40.313114
2.1858234976348547,43.229565
2.2233284544198435,46.30989
2.2608334112048323,49.48541
2.298338367989821,53.5213
2.33584332477481,57.37353
2.3733482815597986,60.11342
2.410853238344787,62.56104
2.4483581951297757,64.63666
2.4858631519147645,66.77543
2.5233681086997533,69.66298
2.5608730654847416,72.61498
2.5983780222697304,76.055374
2.635882979054719,78.36528
2.673387935839708,78.8484
2.7108928926246962,80.03415
2.748397849409685,81.06149
2.785902806194674,81.360954
2.8234077629796626,81.00281
2.860912719764651,81.451515
2.8984176765496397,82.22939
2.935922633334629,82.26633
2.973427590119617,81.678345
3.010932546904606,81.52993
3.0484375036895943,81.50523
3.0859424604745835,81.37499
3.123447417259572,81.967
3.1609523740445606,82.25839
3.1984573308295494,82.05818
3.235962287614538,82.830605
3.2734672443995265,83.19231
3.3109722011845153,82.89129
3.348477157969504,83.13993
3.385982114754493,83.68944
3.423487071539481,84.263084
3.46099202832447,84.565735
3.4984969851094587,85.00046
3.5360019418944475,85.55256
3.573506898679436,85.30964
3.611011855464424,85.22177
3.648516812249413,85.52848
3.686021769034402,85.84006
3.7235267258193905,86.9811
3.7610316826043793,87.42489
3.7985366393893676,88.28694
3.836041596174357,89.402336
3.873546552959345,89.41264
3.911051509744334,89.89033
3.9485564665293222,91.27824
3.9860614233143115,92.39831
4.0235663800993,92.92002
4.061071336884289,94.09137
4.098576293669278,95.08832
4.136081250454266,96.06452
4.173586207239254,97.982925
4.211091164024244,99.46553
4.248596120809232,100.438675
4.286101077594221,101.6784
4.3236060343792095,102.735016
4.361110991164199,102.730125
4.398615947949187,103.18278
4.436120904734175,104.66595
4.473625861519164,105.785095
4.511130818304153,105.777084
4.548635775089141,107.09707
4.5861407318741305,109.177155
4.623645688659119,110.56133
4.661150645444108,112.06357
4.698655602229096,114.338135
4.736160559014085,116.21808
4.773665515799073,117.28579
4.811170472584062,118.63021
4.848675429369051,120.159325
4.88618038615404,121.47617
4.923685342939028,123.42808
4.961190299724017,125.11153
4.998695256509006,126.77818
5.036200213293994,128.98318
5.073705170078982,130.57457
5.111210126863972,131.60957
5.148715083648961,132.53322
5.186220040433949,133.76439
5.2237249972189375,135.49367
5.261229954003927,137.55907
5.298734910788915,139.37222
5.336239867573903,140.30545
5.373744824358893,141.17511
5.411249781143881,142.65678
5.44875473792887,144.65382
5.486259694713858,146.12091
5.523764651498848,146.59659
5.561269608283836,146.67747
5.598774565068824,148.36731
5.636279521853813,149.70114
5.673784478638802,150.7416
5.71128943542379,152.06996
5.748794392208779,153.73773
5.786299348993768,155.61021
5.823804305778757,156.19476
5.861309262563745,156.72575
5.898814219348734,157.50296
5.936319176133722,158.84082
5.973824132918711,160.43037
6.0113290897037,161.07658
6.048834046488689,162.17743
6.086339003273677,163.26428
6.123843960058666,164.52283
6.161348916843655,165.61026
6.198853873628643,166.17491
6.236358830413631,166.65182
6.2738637871986205,167.90974
6.31136874398361,169.57281
6.348873700768598,170.61588
6.386378657553586,171.68707
6.423883614338576,172.5672
6.461388571123564,173.01926
6.498893527908552,173.38312
6.5363984846935415,174.05766
6.57390344147853,174.93542
6.611408398263519,175.66081
6.648913355048507,176.70789
6.6864183118334966,177.34242
6.723923268618485,177.56082
6.761428225403473,178.29994
6.7989331821884615,178.93394
6.836438138973451,178.99739
6.87394309575844,179.68886
6.911448052543428,180.58446
6.948953009328417,180.41037
6.986457966113406,180.4006
7.023962922898394,181.15485
7.0614678796833825,181.70085
7.098972836468371,181.89117
7.13647779325336,181.83939
7.173982750038348,182.03407
7.211487706823338,182.27711
7.248992663608325,182.50789
7.286497620393314,183.23035
7.3240025771783035,183.76118
7.361507533963291,183.67714
7.39901249074828,183.248
7.436517447533269,182.8365
7.474022404318258,182.71704
7.511527361103247,182.46188
7.549032317888234,182.2348
7.586537274673224,182.0638
7.624042231458213,181.74928
7.6615471882432,181.30208
7.6990521450281895,181.64821
7.736557101813178,181.41098
7.774062058598167,180.7449
7.811567015383156,180.24767
7.849071972168144,179.72829
7.886576928953133,179.55154
7.924081885738122,179.53438
7.9615868425231096,179.32344
7.9990917993081,178.87018
8.036596756093086,178.81477
8.074101712878075,179.37408
8.111606669663065,179.6231
8.149111626448054,178.88474
8.186616583233043,178.22241
8.224121540018032,178.5991
8.26162649680302,178.35728
8.299131453588009,177.52562
8.336636410372996,176.83443
8.374141367157986,176.06427
8.411646323942975,174.96025
8.449151280727962,174.02644
8.486656237512952,174.01875
8.52416119429794,173.26645
8.561666151082928,172.13799
8.599171107867917,171.46709
8.636676064652905,170.43579
8.674181021437894,169.83931
8.711685978222883,169.08093
8.749190935007872,167.94014
8.786695891792862,167.10765
8.824200848577851,166.36673
8.861705805362838,165.66924
8.899210762147828,164.23128
8.936715718932817,162.9532
8.974220675717804,161.89491
9.011725632502793,160.79362
9.049230589287781,160.3206
9.08673554607277,158.95917
9.12424050285776,157.65013
9.161745459642747,156.30446
9.199250416427736,155.03853
9.236755373212725,153.73653
9.274260329997714,152.55229
9.311765286782704,151.79218
9.349270243567691,150.95152
9.38677520035268,149.65411
9.42428015713767,148.2193
9.461785113922657,146.71657
9.499290070707646,145.19023
9.536795027492635,143.93456
9.574299984277623,142.94005
9.611804941062612,141.30484
9.6493098978476,139.64967
9.686814854632589,138.5229
9.724319811417578,136.92993
9.761824768202565,135.91585
9.799329724987555,134.3548
9.836834681772544,132.49455
9.874339638557533,130.95973
9.911844595342522,129.24216
9.94934955212751,128.15028
9.986854508912499,127.15517
10.024359465697488,125.86157
10.061864422482476,124.19576
10.099369379267465,122.65389
10.136874336052454,121.38985
10.174379292837441,120.225746
10.21188424962243,118.91138
10.24938920640742,117.66331
10.286894163192407,116.27156
10.324399119977397,114.40246
10.361904076762384,112.98565
10.399409033547373,112.23527
10.436913990332362,111.20243
10.474418947117352,110.146576
10.51192390390234,108.879295
10.54942886068733,107.47341
10.586933817472318,106.1166
10.624438774257307,105.11741
10.661943731042294,104.2513
10.699448687827283,103.356415
10.736953644612273,102.32308
10.77445860139726,101.66097
10.81196355818225,100.86918
10.849468514967239,99.97806
10.886973471752226,98.99566
10.924478428537215,97.99233
10.961983385322203,97.030174
10.999488342107194,96.23072
11.036993298892183,95.42797
11.07449825567717,94.662476
11.11200321246216,94.07476
11.149508169247149,93.60238
11.187013126032136,92.99022
